item_name,total_quantity,total_revenue
Chicken Bowl,761,8044.63
Chicken Burrito,591,6387.06
Steak Burrito,386,4236.13
Steak Bowl,221,2479.81
Chips and Guacamole,506,2475.62
Chicken Salad Bowl,123,1506.25
Chicken Soft Tacos,120,1199.01
Chips and Fresh Tomato Salsa,130,1033.96
Veggie Burrito,97,1002.27
Veggie Bowl,87,901.95
Barbacoa Burrito,91,894.75
Carnitas Bowl,71,830.71
Barbacoa Bowl,66,672.36
Bottled Water,211,649.18
Carnitas Burrito,60,616.33
Canned Soft Drink,351,603.75
Chips,230,580.34
Steak Soft Tacos,56,554.55
Chicken Crispy Tacos,50,524.11
Steak Salad Bowl,31,391.15
Carnitas Soft Tacos,40,375.94
Steak Crispy Tacos,36,375.32
6 Pack Soft Drink,55,369.93
Side of Chips,110,290.68
Barbacoa Soft Tacos,25,250.46
Canned Soda,126,191.84
Veggie Salad Bowl,18,182.5
Chips and Tomatillo Red Chili Salsa,50,159.3
Chips and Tomatillo Green Chili Salsa,45,144.55
Barbacoa Crispy Tacos,12,138.71
Nantucket Nectar,29,111.87
Barbacoa Salad Bowl,10,106.4
Carnitas Crispy Tacos,8,95.94
Chips and Tomatillo-Red Chili Salsa,25,93.21
Veggie Soft Tacos,8,90.94
Chips and Tomatillo-Green Chili Salsa,33,88.43
Chicken Salad,9,81.09
Bowl,4,74.0
Chips and Roasted Chili Corn Salsa,23,73.75
Izze,20,67.8
Carnitas Salad Bowl,6,66.34
Veggie Salad,6,50.94
Burrito,6,44.4
Chips and Roasted Chili-Corn Salsa,18,43.02
Steak Salad,4,35.66
Crispy Tacos,2,14.8
Salad,2,14.8
Carnitas Salad,1,8.99
Veggie Crispy Tacos,1,8.49
Chips and Mild Fresh Tomato Salsa,1,3.0
