item_name,total_quantity,total_revenue
Chicken Bowl,761,7342.73
Chicken Burrito,591,5575.82
Steak Burrito,386,3851.43
Steak Bowl,221,2260.19
Chips and Guacamole,506,2201.04
Chicken Salad Bowl,123,1228.75
Chicken Soft Tacos,120,1108.09
Veggie Burrito,97,934.77
Barbacoa Burrito,91,894.75
Veggie Bowl,87,867.99
Carnitas Bowl,71,736.71
Barbacoa Bowl,66,672.36
Carnitas Burrito,60,597.83
Steak Soft Tacos,56,536.05
Chips,230,494.34
Chicken Crispy Tacos,50,472.13
Canned Soft Drink,351,438.75
Carnitas Soft Tacos,40,375.94
Chips and Fresh Tomato Salsa,130,361.36
Steak Crispy Tacos,36,357.34
6 Pack Soft Drink,55,356.95
Steak Salad Bowl,31,343.59
Bottled Water,211,302.56
Barbacoa Soft Tacos,25,250.46
Side of Chips,110,185.9
Veggie Salad Bowl,18,182.5
Chips and Tomatillo Red Chili Salsa,50,147.5
Canned Soda,126,137.34
Chips and Tomatillo Green Chili Salsa,45,132.75
Barbacoa Crispy Tacos,12,120.21
Barbacoa Salad Bowl,10,106.4
Nantucket Nectar,29,98.31
Chicken Salad,9,81.09
Chips and Tomatillo-Green Chili Salsa,33,78.87
Carnitas Crispy Tacos,8,77.96
Veggie Soft Tacos,8,73.96
Chips and Roasted Chili Corn Salsa,23,67.85
Izze,20,67.8
Carnitas Salad Bowl,6,66.34
Chips and Tomatillo-Red Chili Salsa,25,59.75
Veggie Salad,6,50.94
Burrito,6,44.4
Chips and Roasted Chili-Corn Salsa,18,43.02
Steak Salad,4,35.66
Bowl,4,29.6
Salad,2,14.8
Crispy Tacos,2,14.8
Carnitas Salad,1,8.99
Veggie Crispy Tacos,1,8.49
Chips and Mild Fresh Tomato Salsa,1,3.0
